"","NETWORTH","WGT","Black","White","RACE","Forbes_indicator"
"246993",536300,3889.7189909,0,1,"White",0
"246994",536300,3849.8564278,0,1,"White",0
"246995",536300,3937.5465333,0,1,"White",0
"246996",77320,8365.2454031,0,1,"White",0
"246997",76320,7991.5209635,1,0,"Black",0
"246998",76330,8333.4345687,0,1,"White",0
"246999",77320,8364.5337801,0,1,"White",0
"247000",77320,8443.7160418,1,0,"Black",0
"247001",485584000,34.078292927,0,1,"White",0
"247002",462943000,33.85168553,0,1,"White",0
"247003",503985000,33.762476633,0,1,"White",0
"247004",458371000,33.58502507,0,1,"White",0
"247005",474357000,33.748299752,0,1,"White",0
"247006",-22900,5488.0944423,0,1,"White",0
"247007",-10900,5433.8387425,0,1,"White",0
"247008",-25800,5461.7583351,0,1,"White",0
"247009",-2900,5463.1456039,0,1,"White",0
"247010",-21800,5435.9920443,0,1,"White",0
"247011",58766000,32.076256627,0,1,"White",0
"247012",58766000,33.770304773,0,1,"White",0
"247013",58766000,32.262008388,0,1,"White",0
"247014",58766000,32.403707758,0,1,"White",0
"247015",58766000,32.37391542,0,1,"White",0
"247016",103368300,39.826873312,0,1,"White",0
"247017",103368200,38.564758164,0,1,"White",0
"247018",103368200,39.431489915,0,1,"White",0
"247019",103368200,39.365662408,0,1,"White",0
"247020",103368200,39.675158935,0,1,"White",0
"247021",51257900,42.19843642,0,1,"White",0
"247022",57303900,41.787382165,0,1,"White",0
"247023",53696100,41.799447478,0,1,"White",0
"247024",51497000,41.454616767,0,1,"White",0
"247025",52465000,42.013758546,0,1,"White",0
"247026",18072000,623.17231005,0,1,"White",0
"247027",18409000,669.01881829,0,1,"White",0
"247028",18353000,682.83454134,0,1,"White",0
"247029",19023000,673.94174378,0,1,"White",0
"247030",18807000,678.70927648,0,1,"White",0
"247031",66872750,36.554106002,0,1,"White",0
"247032",57486750,37.0247276,0,1,"White",0
"247033",62141750,36.110189535,0,1,"White",0
"247034",61450750,35.785766107,0,1,"White",0
"247035",64941750,36.159626693,0,1,"White",0
"247036",-53700,3362.9562353,0,1,"White",0
"247037",-51500,3364.5741036,0,1,"White",0
"247038",-51100,3362.2048927,0,1,"White",0
"247039",-51800,3351.8545814,0,1,"White",0
"247040",-57400,3361.4427857,0,1,"White",0
"247041",-69499,8624.7895425,0,1,"White",0
"247042",-69499,8601.5847915,0,1,"White",0
"247043",-69499,8750.2894946,0,1,"White",0
"247044",-69499,8693.3540093,0,1,"White",0
"247045",-69499,8589.6453508,0,1,"White",0
