"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"369",0.72,1998,290495.2995,299081.816229402,290495.2995,299081.816229402
"370",0.73,1998,302763.10316,312450.576629402,302763.10316,312450.576629402
"371",0.74,1998,315660.02496,324354.745688205,315660.02496,324354.745688205
"372",0.75,1998,328745.6822,338119.069509701,328745.6822,338119.069509701
"373",0.76,1998,343970.3411,353657.814559402,343970.3411,353657.814559402
"374",0.77,1998,360170.13311,368017.908949701,360170.13311,368017.908949701
"375",0.78,1998,384076.6223,395604.739229701,384076.6223,395604.739229701
"376",0.79,1998,408926.78869,417545.234239701,408926.78869,417545.234239701
"377",0.8,1998,430631.36439,438431.483449402,430631.36439,438431.483449402
"378",0.81,1998,446988.43594,459443.083368803,446988.43594,459443.083368803
"379",0.82,1998,477186.10649,484671.666479402,477186.10649,484671.666479402
"380",0.83,1998,504096.63478,514208.290069102,504096.63478,514208.290069102
"381",0.84,1998,533020.3411,541166.948049701,533020.3411,541166.948049701
"382",0.85,1998,560213.97255,571332.689769402,560213.97255,571332.689769402
"383",0.86,1998,592393.36522,601700.222219402,592393.36522,601700.222219402
"384",0.87,1998,629904.53411,639277.448509402,629904.53411,639277.448509402
"385",0.88,1998,670482.65391,679305.089939402,670482.65391,679305.089939402
"386",0.89,1998,716329.6381,726850.220179102,716329.6381,726850.220179102
"387",0.9,1998,776174.50083,787448.605918205,776174.50083,787448.605918205
"388",0.91,1998,849938.60233,862331.756699701,849938.60233,862331.756699701
"389",0.92,1998,922444.46755,932461.755119102,922444.46755,932461.755119102
"390",0.93,1998,1038674.0433,1050752.6385597,1038674.0433,1050752.6385597
"391",0.94,1998,1185101.2895,1193845.0858194,1185101.2895,1193845.0858194
"392",0.95,1998,1416774.0433,1423269.2150597,1416774.0433,1423269.2150597
"393",0.96,1998,1695473.3777,1703777.2641597,1695473.3777,1703777.2641597
"394",0.97,1998,2096221.6306,2107592.4680597,2096221.6306,2107592.4680597
"395",0.98,1998,3167059.3386,3178491.6690388,3167059.3386,3178491.6690388
"396",0.99,1998,5979453.3278,5988637.0337791,5979453.3278,5988637.0337791
"397",0.01,2001,-31050.99312,-25541.3904204911,-31050.99312,-25541.3904204911
"398",0.02,2001,-17099.7097,-11315.7028804911,-17099.7097,-11315.7028804911
"399",0.03,2001,-9604.144385,-2390.34764349114,-9604.144385,-2390.34764349114
"400",0.04,2001,-5242.563025,1693.29065475443,-5242.563025,1693.29065475443
"401",0.05,2001,-2238.559969,3570.79256475443,-2238.559969,3570.79256475443
"402",0.06,2001,-722.1161192,3572.23679699273,-722.1161192,3572.23679699273
"403",0.07,2001,0,4292.90868392443,0,4292.90868392443
"404",0.08,2001,0,5646.66147401772,0,5646.66147401772
"405",0.09,2001,0,6748.10348915443,0,6748.10348915443
"406",0.1,2001,144.42322383,7181.37316065443,144.42322383,7181.37316065443
"407",0.11,2001,577.69289534,8455.83646640886,577.69289534,8455.83646640886
"408",0.12,2001,1270.9243697,9816.95370646329,1270.9243697,9816.95370646329
"409",0.13,2001,2166.3483575,10712.3776942633,2166.3483575,10712.3776942633
"410",0.14,2001,3032.8877005,11355.2043294544,3032.8877005,11355.2043294544
"411",0.15,2001,3899.4270435,12647.6488936633,3899.4270435,12647.6488936633
"412",0.16,2001,4765.9663866,13889.6886186633,4765.9663866,13889.6886186633
"413",0.17,2001,5776.9289534,14745.3245752877,5776.9289534,14745.3245752877
"414",0.18,2001,7047.8533231,16312.4598430089,7047.8533231,16312.4598430089
"415",0.19,2001,8377.9912147,17684.4804695089,8377.9912147,17684.4804695089
"416",0.2,2001,9820.7792208,18944.5014528633,9820.7792208,18944.5014528633
"417",0.21,2001,11770.492743,20020.3111812721,11770.492743,20020.3111812721
"418",0.22,2001,12998.090145,21937.6011223177,12998.090145,21937.6011223177
"419",0.23,2001,14630.072574,23598.4681964177,14630.072574,23598.4681964177
"420",0.24,2001,16579.786096,25548.1817180177,16579.786096,25548.1817180177
"421",0.25,2001,18515.057296,27570.1068520177,18515.057296,27570.1068520177
"422",0.26,2001,21374.637128,30451.4934565089,21374.637128,30451.4934565089
"423",0.27,2001,23974.255157,33050.8249075266,23974.255157,33050.8249075266
"424",0.28,2001,26588.315508,36051.2890267722,26588.315508,36051.2890267722
"425",0.29,2001,30328.877005,39059.1175975089,30328.877005,39059.1175975089
"426",0.3,2001,33361.764706,42565.0629997544,33361.764706,42565.0629997544
"427",0.31,2001,36481.306341,45528.9914465266,36481.306341,45528.9914465266
"428",0.32,2001,39933.02139,48775.2616247544,39933.02139,48775.2616247544
"429",0.33,2001,43471.390374,52241.4189967544,43471.390374,52241.4189967544
"430",0.34,2001,46937.547746,55151.4036682633,46937.547746,55151.4036682633
"431",0.35,2001,49667.146677,59173.7337407544,49667.146677,59173.7337407544
"432",0.36,2001,53147.746371,62722.7195330177,53147.746371,62722.7195330177
"433",0.37,2001,57047.173415,66066.2604545089,57047.173415,66066.2604545089
"434",0.38,2001,60946.600458,70583.1684237544,60946.600458,70583.1684237544
"435",0.39,2001,66478.009931,75211.9327477544,66478.009931,75211.9327477544
"436",0.4,2001,71778.342246,79891.1019112633,71778.342246,79891.1019112633
"437",0.41,2001,75605.557678,85090.3379692633,75605.557678,85090.3379692633
"438",0.42,2001,80299.312452,89433.9380705089,80299.312452,89433.9380705089
"439",0.43,2001,85166.375095,94413.0003567544,85166.375095,94413.0003567544
